clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
6,BFHG3R-R,32.226,1.716864888,0.0,0.0,31.3234,6.090285406,56.61082634,0.0,13.09815791,0.0,12.86692672,0.0,414.64958047872,0.0,403.035892421248
1,BFWSM9-R,26.8092326,1.539854031,185.0601705,-15.28507553,18.97370015,1.02759601,-1.469172389,0.0,14.29245835,0.0,74.26650828,0.0,1991.028094868346,13743.772684736461,1409.110459292212
6,BFWSM9-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BGWMF7-R,26.8092326,1.539854031,25.334,0.778382032,-0.374,6.013167847,-2.349,0.043752112,-2.653,0.0,33.053,1.1084160054080001,886.1255651278,837.364702,-12.361821999999998
6,BGWMF7-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BH0ZRB-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
4,BH0ZRB-R,2.623,0.284120451,7.016,-4.923508772,-4.035,6.090285406,-4.55,-0.901052632,-3.9,-3.700690714,0.538,-6.321785266112,1.4111740000000002,3.774608,-2.17083
3,BHR525-R,82.797,3.741222719,114.562,5.02508992,-3.031,6.013167847,1.147,4.420607071,-3.128,-0.027174736,0.0,506.433587267902,0.0,0.0,-0.0
6,BHR525-R,36.389,0.810806595,102.72,3.627118644,-3.545,6.090285406,3.622,3.236299435,15.574,-0.029924379,0.0,332.4326779632,0.0,0.0,-0.0
4,BJ0WPB-R,3.241258,159.6678818,0.0,0.0,-0.00129,6.013167847,0.0,0.0,1.609136544,-0.000400502,0.018,0.0,0.058342644,0.0,-2.3219999999999998e-05
6,BJ0WPB-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
5,BJ362H-R,2245.5,1.474779982,1902.8,0.701157049,484.6,4.864998594,-15.0,0.642641315,487.2,0.043340868,6157.5,1222.817894182,13826666.25,11716491.0,2983924.5
6,BJ362H-R,1891.1,1.844615685,1064.4,0.475645723,464.9,4.188741933,139.8,0.442354098,332.3,0.087380367,4586.7,470.8417019112,8673908.37,4882083.48,2132356.8299999996
3,BK790F-R,1383.956985,0.386152559,466.1472622,0.352141476,25.65592972,6.013167847,-558.503856,0.352141476,423.6737573,0.0,2241.501653,164.149784944467,3102141.869558396,1044869.8587627243,57507.80887663182
6,BK790F-R,1776.735944,0.41957981,466.5362324,0.296555284,29.37532653,6.090285406,-661.5265365,0.296555284,876.0973003,0.0,2418.229232,138.353784895672,4296554.797325916,1128191.5549768256,71036.27331439113
3,BK7D6J-R,26.8092326,1.539854031,29.787,0.061600917,116.663,6.013167847,-32.127,0.0,3.403,0.0,14.838,0.0,397.7953933188,441.97950599999996,1731.045594
