clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
2,RLXY0V-R,7.139189,20.23344509,0.010152,0.001242965,-2.70428,6.090285406,-0.956911,0.0,-2.60934,-0.346568238,0.0
1,V2GPT0-R,4574.0,1.913807531,20792.0,-15.70392749,272.0,122.5185185,-3382.0,-14.4070997,-608.0,-0.027349404,1175.0
2,MD4WZ4-R,9.03951472,25.86207919,0.059838773,0.003165859,-1.449519273,6.090285406,-1.60966907,0.001996284,-0.800331822,-0.075880432,0.0
2,VN0JN0-R,15.954,20.85490196,0.62,0.040819014,-0.342,6.090285406,0.0,0.0,-0.048,-0.022516295,0.0
3,K4GK55-R,26.8092326,1.539854031,99.961,0.082508613,225.373,6.013167847,30.28,0.082508613,6.73,0.0,78.372
3,WBRT5B-R,1.190433,0.607812192,2.101034,1.682954454,-1.965597,8.560893139,-1.367082,0.393148994,-1.025363,-0.746605205,3.601819
4,GDGS9R-R,35.660852,7.325055219,0.582802,0.016135821,-10.937843,0.647794133,-9.366173,0.013473143,-3.240798,-0.198078162,0.0
3,W39BJY-R,641.1,1.252148438,258.8,0.631219512,198.8,19.42157613,-63.4,0.472064977,211.5,0.137821399,2062.5
2,D3VXJF-R,10.40610408,24.52615638,0.0,0.0,-2.826317865,6.090285406,-4.385751041,0.0,-1.949293814,-0.117593316,0.0
3,G6MQC6-R,37.17107429,2.131691559,7.743516588,0.225563109,6.579302773,3.145396552,-1.167383793,0.103274184,7.494026887,0.049429867,80.36622507
3,PW44K1-R,33.770213,2.284894352,0.501182,0.014039221,-4.370768,6.013167847,0.0,0.005274057,1.609136544,-0.131052132,5.401323
6,JH5D6Q-R,306.1,1.601779173,43.5,0.187419216,45.2,3.597433841,9.3,0.139595002,13.8,0.08674189,667.2
5,R033YB-R,11770.0,0.169713923,5838.0,0.585791692,0.0,6.013167847,-457.0,0.574405388,4301.0,0.0,50231.0
3,BR55CN-R,26.8092326,1.539854031,319.0,0.169861555,162.0,6.013167847,-1474.0,0.165069223,1440.0,0.0,3461.0
2,GRT336-R,28.06674296,50.5518617,0.428956403,0.009865182,-3.447965998,6.090285406,-0.150512193,0.005891941,-3.264733072,-0.08278832,0.0
2,BL7YD4-R,17.346,20.33528722,0.0,0.0,-1.801,6.090285406,0.182,0.0,-0.754,-0.081298244,0.0
1,LRJCVJ-R,13970.98453,1.788056317,9491.675588,0.369744032,14290.66009,3.295455006,-4104.547481,0.417646002,11907.91392,0.299973337,30209.32404
3,CTVD8Z-R,168.178,0.947935631,89.703,1.987613835,17.009,6.013167847,-6.894,0.943694597,32.27,0.032545537,323.25
1,TN29K5-R,25.86766817,0.856238043,93.21087384,-114.6313719,38.67986996,7.274356842,-9.792890987,-88.30316972,21.93739747,0.337782156,95.21443999
2,JQZXDZ-R,79.502,1.049420523,38.202,1.22489419,15.294,1972.180791,-6.07,0.913451233,14.109,0.102431056,221.226
5,S4JTTV-R,3158.477611,1.631578947,5018.2731,0.477686415,3238.557041,24.595464,-2113.714708,0.470802648,2654.686068,0.112926754,5062.154041
3,CN97ZF-R,699.0,2.023740591,907.0,0.568616388,390.1,2.939632546,-992.4,0.534612229,287.5,0.114887274,1390.3
1,SGF9FK-R,3.535,6.357913669,3.465,-69.3,-0.717,6.013167847,0.854,-60.58,-0.611,-0.240684794,0.0
1,R4QFTC-R,1.368740627,2.083518931,18.32473755,-5.075785208,-2.294221034,6.568672531,-0.910824496,-4.936170213,-2.572611311,-0.107348774,0.0
1,MH2X00-R,546443.2057,1.831012397,291959.0978,2.144920619,2689.587446,6.090285406,10621.65272,0.727780432,25243.8759,0.0,52832.68814
4,TZWHZW-R,1.103,34.46875,0.0,0.0,-0.235,6.013167847,0.0,0.0,-0.338,-0.219421102,0.0
4,GRT336-R,31.35959618,103.5434783,0.575002743,0.012302202,-1.54481561,6.013167847,-0.07954118,0.009093613,-1.421603644,-0.035925614,0.0
4,D6CQTB-R,4.943704087,8.73011734,0.096718225,0.010675577,-1.51312,6.090285406,-1.950841611,0.001548366,-1.232454912,-0.166757151,0.0
6,CD086M-R,32.226,1.216213156,1.711,0.023914016,6.86670296,9.081379759,-4.665,0.013892771,9.116,0.02398313,58.77896056
6,F9VFFN-R,32.226,1.716864888,0.0,0.0,43.827,6.090285406,-667.739,0.0,-5.523,0.0,2.937
4,K74Y6F-R,14.015017,8.350926168,0.001132,4.16e-05,-3.270281,6.090285406,4.924103,0.0,-3.503034,-0.121415,0.0
2,TF5BLH-R,6.367898409,22.87798408,0.004429842,0.000253004,-1.43096272,0.804853001,-5.126139901,0.0,-1.729072438,-0.089244062,0.0
5,JLDDZL-R,6090.294954,3.954458293,3802.281369,0.159408178,4697.870909,4.077613084,-1748.704463,0.21524081,3561.394785,0.09436445,8679.536454
